iter	Passed	Remaining
796	22962	5848
797	22992	5820
798	23020	5791
799	23048	5762
800	23076	5733
801	23111	5705
802	23138	5676
803	23165	5647
804	23193	5618
805	23220	5589
806	23249	5560
807	23277	5531
808	23305	5502
809	23333	5473
810	23362	5444
811	23391	5415
812	23420	5386
813	23448	5358
814	23476	5328
815	23505	5300
816	23533	5271
817	23562	5242
818	23590	5213
819	23618	5184
820	23646	5155
821	23675	5126
822	23703	5097
823	23731	5068
824	23759	5039
825	23787	5010
826	23816	4982
827	23844	4953
828	23872	4924
829	23901	4895
830	23930	4866
831	23959	4837
832	23988	4809
833	24016	4780
834	24046	4751
835	24074	4722
836	24101	4693
837	24128	4664
838	24155	4635
839	24182	4606
840	24210	4577
841	24237	4548
842	24265	4519
843	24293	4490
844	24321	4461
845	24349	4432
846	24378	4403
847	24406	4374
848	24434	4345
849	24463	4317
850	24490	4288
851	24519	4259
852	24548	4230
853	24576	4201
854	24604	4172
855	24632	4143
856	24660	4114
857	24688	4085
858	24716	4057
859	24744	4028
860	24773	3999
861	24801	3970
862	24829	3941
863	24858	3912
864	24887	3884
865	24916	3855
866	24946	3826
867	24975	3798
868	25004	3769
869	25033	3740
870	25060	3711
871	25088	3682
872	25116	3653
873	25143	3624
874	25170	3595
875	25197	3566
876	25226	3538
877	25253	3509
878	25282	3480
879	25310	3451
880	25337	3422
881	25366	3393
882	25395	3364
883	25434	3337
884	25462	3308
885	25491	3279
886	25520	3251
887	25548	3222
888	25576	3193
889	25604	3164
890	25632	3135
891	25660	3106
892	25688	3078
893	25716	3049
894	25745	3020
895	25773	2991
896	25801	2962
897	25829	2933
898	25857	2905
899	25885	2876
900	25915	2847
901	25944	2818
902	25972	2789
903	26000	2761
904	26029	2732
905	26057	2703
906	26085	2674
907	26112	2645
908	26139	2616
909	26166	2587
910	26193	2558
911	26221	2530
912	26248	2501
913	26276	2472
914	26304	2443
915	26332	2414
916	26359	2385
917	26388	2357
918	26416	2328
919	26446	2299
920	26473	2270
921	26502	2242
922	26530	2213
923	26558	2184
924	26587	2155
925	26614	2126
926	26642	2098
927	26671	2069
928	26700	2040
929	26729	2011
930	26756	1983
931	26784	1954
932	26813	1925
933	26841	1896
934	26869	1867
935	26897	1839
936	26925	1810
937	26954	1781
938	26983	1752
939	27011	1724
940	27040	1695
941	27068	1666
942	27095	1637
943	27122	1608
944	27149	1580
945	27176	1551
946	27204	1522
947	27232	1493
948	27259	1464
949	27287	1436
950	27316	1407
951	27344	1378
952	27371	1349
953	27399	1321
954	27427	1292
955	27455	1263
956	27486	1235
957	27513	1206
958	27541	1177
959	27569	1148
960	27597	1119
961	27627	1091
962	27654	1062
963	27683	1033
964	27712	1005
965	27740	976
966	27767	947
967	27795	918
968	27823	890
969	27851	861
970	27879	832
971	27909	803
972	27937	775
973	27966	746
974	27997	717
975	28026	689
976	28055	660
977	28082	631
978	28109	602
979	28137	574
980	28165	545
981	28192	516
982	28220	488
983	28247	459
984	28276	430
985	28303	401
986	28331	373
987	28359	344
988	28387	315
989	28416	287
990	28443	258
991	28471	229
992	28500	200
993	28529	172
994	28556	143
995	28584	114
996	28612	86
997	28641	57
998	28669	28
999	28697	0
